Date,Price,Open,High,Low,Vol.,Change %
02/10/2013,"1,609.44","1,666.93","1,669.69","1,598.42",,-3.48%
02/03/2013,"1,667.50","1,667.76","1,685.11","1,662.00",,0.02%
01/27/2013,"1,667.15","1,658.76","1,684.00","1,652.54",,0.51%
01/20/2013,"1,658.69","1,684.79","1,696.14","1,655.78",,-1.50%
01/13/2013,"1,683.95","1,662.16","1,696.17","1,660.25",,1.26%
01/06/2013,"1,663.05","1,656.51","1,679.21","1,642.75",,0.37%
12/30/2012,"1,656.85","1,656.21","1,695.31","1,626.40",,0.09%
12/23/2012,"1,655.40","1,657.80","1,668.01","1,650.49",,-0.10%
12/16/2012,"1,656.99","1,695.64","1,703.24","1,635.47",,-2.27%
12/09/2012,"1,695.47","1,704.49","1,723.45","1,689.39",,-0.48%
12/02/2012,"1,703.65","1,714.11","1,722.32","1,684.40",,-0.65%
11/25/2012,"1,714.80","1,752.90","1,752.90","1,706.04",,-2.18%
11/18/2012,"1,753.00","1,713.60","1,754.60","1,713.49",,2.29%
11/11/2012,"1,713.70","1,732.00","1,738.41","1,705.30",,-1.01%
11/04/2012,"1,731.24","1,676.97","1,739.05","1,672.62",,3.18%
10/28/2012,"1,677.85","1,711.39","1,727.00","1,674.44",,-1.96%
10/21/2012,"1,711.35","1,721.80","1,730.60","1,699.00",,-0.55%
10/14/2012,"1,720.90","1,753.49","1,753.70","1,716.29",,-1.90%
10/07/2012,"1,754.25","1,780.60","1,780.79","1,752.34",,-1.50%
09/30/2012,"1,780.98","1,771.09","1,796.19","1,763.44",,0.55%
09/23/2012,"1,771.22","1,773.43","1,783.63","1,738.03",,-0.10%
09/16/2012,"1,773.05","1,774.85","1,787.81","1,752.95",,0.03%
09/09/2012,"1,772.48","1,735.74","1,778.01","1,717.14",,2.07%
09/02/2012,"1,736.50","1,692.09","1,741.80","1,685.59",,2.68%
08/26/2012,"1,691.15","1,671.55","1,693.32","1,647.34",,1.25%
08/19/2012,"1,670.35","1,616.15","1,675.30","1,610.09",,3.38%
08/12/2012,"1,615.80","1,620.24","1,625.71","1,590.19",,-0.26%
08/05/2012,"1,620.05","1,604.89","1,626.56","1,602.74",,0.98%
07/29/2012,"1,604.30","1,624.99","1,628.20","1,584.99",,-1.17%
07/22/2012,"1,623.28","1,581.64","1,629.60","1,563.49",,2.50%
07/15/2012,"1,583.63","1,591.79","1,599.90","1,568.24",,-0.34%
07/08/2012,"1,589.05","1,580.95","1,601.51","1,554.95",,0.39%
07/01/2012,"1,582.90","1,599.30","1,625.31","1,576.70",,-0.98%
06/24/2012,"1,598.60","1,571.79","1,607.19","1,547.64",,1.68%
06/17/2012,"1,572.15","1,627.31","1,633.51","1,558.80",,-3.36%
06/10/2012,"1,626.76","1,593.20","1,633.70","1,582.99",,2.03%
06/03/2012,"1,594.45","1,625.90","1,641.11","1,562.05",,-1.96%
05/27/2012,"1,626.25","1,574.20","1,630.02","1,532.10",,3.36%
05/20/2012,"1,573.45","1,592.26","1,599.40","1,534.02",,-1.23%
05/13/2012,"1,593.09","1,581.38","1,598.68","1,528.28",,0.83%
05/06/2012,"1,580.05","1,640.40","1,643.01","1,573.90",,-3.82%
04/29/2012,"1,642.83","1,662.35","1,671.61","1,626.91",,-1.16%
04/22/2012,"1,662.05","1,642.05","1,667.72","1,620.60",,1.18%
04/15/2012,"1,642.70","1,654.20","1,657.91","1,631.41",,-0.98%
04/08/2012,"1,659.00","1,641.55","1,680.31","1,627.81",,1.19%
04/01/2012,"1,639.49","1,669.55","1,682.16","1,613.30",,-1.76%
03/25/2012,"1,668.90","1,661.81","1,696.81","1,645.50",,0.40%
03/18/2012,"1,662.26","1,653.51","1,669.93","1,628.22",,0.10%
03/11/2012,"1,660.65","1,709.19","1,714.41","1,634.70",,-3.06%
03/04/2012,"1,713.09","1,711.16","1,716.86","1,664.45",,0.05%
02/26/2012,"1,712.30","1,773.20","1,790.70","1,688.39",,-3.45%
