Date,Price,Open,High,Low,Vol.,Change %
11/27/2022,"1,797.82","1,755.00","1,804.93","1,738.98",,2.37%
11/20/2022,"1,756.14","1,750.82","1,761.58","1,728.25",,0.37%
11/13/2022,"1,749.74","1,771.42","1,786.68","1,747.04",,-1.18%
11/06/2022,"1,770.69","1,681.30","1,773.17","1,664.32",,5.38%
10/30/2022,"1,680.27","1,643.69","1,682.17","1,616.18",,2.35%
10/23/2022,"1,641.76","1,658.19","1,675.12","1,637.39",,-0.90%
10/16/2022,"1,656.66","1,644.09","1,668.69","1,617.21",,0.91%
10/09/2022,"1,641.76","1,696.80","1,700.33","1,639.90",,-3.11%
10/02/2022,"1,694.52","1,661.30","1,729.73","1,659.10",,2.10%
09/25/2022,"1,659.67","1,645.40","1,675.57","1,614.35",,1.01%
09/18/2022,"1,643.09","1,675.44","1,688.15","1,639.59",,-1.90%
09/11/2022,"1,674.94","1,717.05","1,735.37","1,653.85",,-2.40%
09/04/2022,"1,716.05","1,712.99","1,729.94","1,690.90",,0.27%
08/28/2022,"1,711.44","1,736.19","1,745.63","1,688.35",,-1.46%
08/21/2022,"1,736.86","1,747.05","1,765.93","1,727.51",,-0.63%
08/14/2022,"1,747.83","1,802.05","1,802.53","1,745.19",,-2.99%
08/07/2022,"1,801.76","1,773.57","1,807.90","1,770.94",,1.56%
07/31/2022,"1,774.15","1,765.05","1,795.29","1,754.33",,0.51%
07/24/2022,"1,765.22","1,728.15","1,768.17","1,711.46",,2.25%
07/17/2022,"1,726.46","1,707.94","1,739.28","1,680.78",,1.15%
07/10/2022,"1,706.78","1,742.86","1,745.54","1,697.48",,-2.01%
07/03/2022,"1,741.82","1,812.27","1,814.36","1,731.75",,-3.78%
06/26/2022,"1,810.18","1,838.15","1,841.34","1,784.10",,-0.88%
06/19/2022,"1,826.18","1,840.40","1,848.44","1,816.70",,-0.72%
06/12/2022,"1,839.35","1,875.80","1,877.38","1,804.65",,-1.69%
06/05/2022,"1,870.96","1,850.29","1,876.47","1,825.02",,1.09%
05/29/2022,"1,850.77","1,852.19","1,874.30","1,828.28",,-0.11%
05/22/2022,"1,852.73","1,846.53","1,869.99","1,841.14",,0.38%
05/15/2022,"1,845.68","1,811.05","1,849.59","1,786.95",,1.91%
05/08/2022,"1,811.15","1,883.80","1,885.95","1,799.24",,-3.81%
05/01/2022,"1,882.96","1,896.09","1,910.03","1,850.33",,-0.71%
04/24/2022,"1,896.40","1,931.09","1,934.71","1,872.19",,-1.73%
04/17/2022,"1,929.73","1,972.84","1,998.60","1,926.52",,-2.27%
04/10/2022,"1,974.54","1,947.15","1,981.82","1,940.05",,1.47%
04/03/2022,"1,945.85","1,924.94","1,948.46","1,915.24",,1.12%
03/27/2022,"1,924.30","1,958.75","1,959.36","1,890.03",,-1.69%
03/20/2022,"1,957.40","1,922.24","1,966.19","1,910.89",,1.89%
03/13/2022,"1,921.09","1,985.49","1,990.33","1,895.22",,-3.23%
03/06/2022,"1,985.29","1,977.09","2,070.29","1,958.80",,0.86%
02/27/2022,"1,968.45","1,920.86","1,970.80","1,890.59",,4.29%
02/20/2022,"1,887.56","1,900.40","1,974.48","1,879.05",,-0.54%
02/13/2022,"1,897.87","1,861.55","1,902.84","1,844.27",,2.04%
02/06/2022,"1,859.96","1,806.99","1,865.63","1,806.94",,2.90%
01/30/2022,"1,807.49","1,791.19","1,815.44","1,785.03",,0.92%
01/23/2022,"1,791.03","1,834.49","1,853.98","1,779.88",,-2.30%
01/16/2022,"1,833.24","1,817.90","1,848.36","1,805.53",,0.88%
01/09/2022,"1,817.22","1,795.41","1,829.66","1,790.43",,1.20%
01/02/2022,"1,795.63","1,830.14","1,832.06","1,782.63",,-1.79%
12/26/2021,"1,828.39","1,808.19","1,830.58","1,788.94",,1.12%
12/19/2021,"1,808.11","1,799.40","1,812.70","1,784.58",,0.58%
12/12/2021,"1,797.68","1,782.94","1,814.63","1,753.84",,0.85%
12/05/2021,"1,782.51","1,784.79","1,793.60","1,769.43",,-0.07%
11/28/2021,"1,783.74","1,790.05","1,809.38","1,761.68",,-0.45%
11/21/2021,"1,791.81","1,846.74","1,849.49","1,778.44",,-2.86%
11/14/2021,"1,844.60","1,868.15","1,877.40","1,842.98",,-1.04%
11/07/2021,"1,864.04","1,818.44","1,868.73","1,812.08",,2.60%
10/31/2021,"1,816.73","1,783.24","1,818.61","1,758.45",,1.90%
10/24/2021,"1,782.81","1,794.00","1,810.49","1,771.70",,-0.54%
10/17/2021,"1,792.48","1,767.74","1,814.22","1,759.68",,1.43%
10/10/2021,"1,767.26","1,757.34","1,800.91","1,749.68",,0.60%
10/03/2021,"1,756.67","1,762.15","1,781.60","1,745.45",,-0.21%
09/26/2021,"1,760.36","1,751.24","1,764.63","1,721.07",,0.60%
09/19/2021,"1,749.86","1,754.30","1,787.51","1,737.84",,-0.24%
09/12/2021,"1,754.16","1,788.55","1,808.99","1,745.04",,-1.86%
09/05/2021,"1,787.34","1,828.66","1,830.60","1,781.98",,-2.13%
08/29/2021,"1,826.19","1,817.55","1,834.55","1,801.47",,0.52%
08/22/2021,"1,816.67","1,780.55","1,819.38","1,776.03",,2.01%
08/15/2021,"1,780.87","1,778.44","1,795.77","1,770.38",,0.10%
08/08/2021,"1,779.15","1,763.34","1,780.53","1,684.77",,0.93%
08/01/2021,"1,762.69","1,814.34","1,832.10","1,758.33",,-2.81%
07/25/2021,"1,813.58","1,802.65","1,833.05","1,792.60",,0.68%
07/18/2021,"1,801.34","1,811.65","1,825.27","1,790.45",,-0.53%
07/11/2021,"1,810.89","1,807.94","1,833.99","1,791.21",,0.16%
07/04/2021,"1,807.98","1,787.69","1,818.70","1,784.09",,1.19%
06/27/2021,"1,786.79","1,781.24","1,795.40","1,750.11",,0.36%
06/20/2021,"1,780.34","1,764.44","1,795.18","1,764.44",,0.96%
06/13/2021,"1,763.34","1,874.59","1,878.21","1,761.04",,-6.04%
06/06/2021,"1,876.64","1,888.49","1,903.95","1,869.84",,-0.71%
05/30/2021,"1,889.97","1,903.69","1,916.84","1,856.09",,-0.67%
05/23/2021,"1,902.64","1,882.34","1,913.15","1,872.73",,1.19%
05/16/2021,"1,880.30","1,843.84","1,890.18","1,841.24",,2.07%
05/09/2021,"1,842.19","1,833.24","1,845.58","1,808.78",,0.64%
05/02/2021,"1,830.48","1,768.49","1,843.45","1,765.91",,3.50%
04/25/2021,"1,768.59","1,776.34","1,790.43","1,756.19",,-0.48%
04/18/2021,"1,777.18","1,779.50","1,798.29","1,763.18",,0.05%
04/11/2021,"1,776.31","1,743.80","1,784.07","1,723.27",,1.91%
04/04/2021,"1,743.10","1,728.74","1,759.13","1,721.22",,0.82%
03/28/2021,"1,728.84","1,732.15","1,733.40","1,677.93",,-0.18%
03/21/2021,"1,731.97","1,745.74","1,747.18","1,721.23",,-0.73%
03/14/2021,"1,744.74","1,727.74","1,755.59","1,719.05",,1.06%
03/07/2021,"1,726.41","1,702.80","1,739.99","1,676.70",,1.50%
02/28/2021,"1,700.86","1,733.40","1,760.02","1,687.12",,-1.88%
02/21/2021,"1,733.49","1,782.24","1,816.27","1,717.26",,-2.74%
02/14/2021,"1,782.31","1,825.34","1,827.59","1,760.13",,-2.26%
02/07/2021,"1,823.46","1,815.44","1,855.70","1,807.48",,0.65%
01/31/2021,"1,811.62","1,863.05","1,871.84","1,785.15",,-1.87%
01/24/2021,"1,846.09","1,855.75","1,876.03","1,831.29",,-0.35%
01/17/2021,"1,852.55","1,828.94","1,875.45","1,810.46",,1.42%
01/10/2021,"1,826.59","1,849.34","1,864.08","1,817.14",,-1.17%
01/03/2021,"1,848.26","1,906.05","1,959.60","1,828.74",,-2.63%
12/27/2020,"1,898.10","1,885.93","1,901.26","1,869.21",,1.19%
12/20/2020,"1,875.82","1,883.20","1,906.93","1,856.69",,-0.26%
12/13/2020,"1,880.66","1,839.30","1,896.26","1,819.92",,2.26%
12/06/2020,"1,839.03","1,837.99","1,875.79","1,822.99",,0.08%
11/29/2020,"1,837.61","1,789.05","1,848.26","1,764.69",,2.77%
11/22/2020,"1,788.13","1,869.84","1,876.72","1,773.93",,-4.40%
11/15/2020,"1,870.49","1,888.74","1,899.35","1,852.48",,-0.93%
11/08/2020,"1,888.04","1,954.65","1,965.92","1,850.36",,-3.25%
11/01/2020,"1,951.51","1,878.59","1,960.77","1,873.21",,3.92%
10/25/2020,"1,877.95","1,902.34","1,911.34","1,859.67",,-1.20%
10/18/2020,"1,900.79","1,899.94","1,931.41","1,894.54",,0.10%
10/11/2020,"1,898.97","1,930.50","1,933.45","1,882.44",,-1.58%
10/04/2020,"1,929.43","1,902.24","1,930.83","1,873.05",,1.62%
09/27/2020,"1,898.70","1,859.00","1,917.28","1,849.19",,2.08%
09/20/2020,"1,860.05","1,949.55","1,955.75","1,848.45",,-4.60%
09/13/2020,"1,949.69","1,941.05","1,973.63","1,932.99",,0.42%
09/06/2020,"1,941.50","1,931.24","1,966.50","1,906.67",,0.47%
08/30/2020,"1,932.45","1,965.40","1,992.38","1,916.67",,-1.63%
08/23/2020,"1,964.49","1,939.24","1,976.60","1,902.77",,1.29%
08/16/2020,"1,939.40","1,947.04","2,015.45","1,911.65",,-0.22%
08/09/2020,"1,943.76","2,034.19","2,050.01","1,864.30",,-4.47%
08/02/2020,"2,034.62","1,980.98","2,073.41","1,960.40",,3.04%
07/26/2020,"1,974.69","1,899.99","1,981.22","1,899.73",,3.88%
07/19/2020,"1,900.97","1,809.58","1,906.54","1,805.60",,5.09%
07/12/2020,"1,808.90","1,799.01","1,814.79","1,791.46",,0.59%
07/05/2020,"1,798.31","1,776.31","1,818.13","1,770.13",,1.33%
06/28/2020,"1,774.79","1,773.74","1,789.48","1,757.68",,0.24%
06/21/2020,"1,770.62","1,748.78","1,779.61","1,743.27",,1.59%
06/14/2020,"1,742.84","1,732.32","1,745.36","1,704.31",,0.76%
06/07/2020,"1,729.77","1,684.65","1,744.92","1,677.52",,2.64%
05/31/2020,"1,685.23","1,738.05","1,745.26","1,670.74",,-2.38%
05/24/2020,"1,726.30","1,734.61","1,737.71","1,693.82",,-0.45%
05/17/2020,"1,734.07","1,743.01","1,765.94","1,717.10",,-0.40%
05/10/2020,"1,741.00","1,702.65","1,752.13","1,691.59",,2.37%
05/03/2020,"1,700.65","1,699.00","1,723.91","1,682.28",,0.09%
04/26/2020,"1,699.12","1,726.15","1,727.93","1,670.06",,-1.64%
04/19/2020,"1,727.43","1,692.25","1,739.74","1,661.39",,2.57%
04/12/2020,"1,684.19","1,685.69","1,747.85","1,674.87",,-0.28%
04/05/2020,"1,688.90","1,597.50","1,697.50","1,597.50",,4.48%
03/29/2020,"1,616.45","1,622.00","1,639.61","1,565.74",,-0.06%
03/22/2020,"1,617.50","1,508.15","1,647.28","1,485.10",,8.00%
03/15/2020,"1,497.64","1,550.55","1,573.49","1,451.50",,-2.07%
03/08/2020,"1,529.31","1,694.40","1,702.96","1,506.86",,-8.64%
03/01/2020,"1,673.85","1,591.10","1,692.10","1,579.70",,5.62%
02/23/2020,"1,584.74","1,659.05","1,689.11","1,565.86",,-3.56%
02/16/2020,"1,643.32","1,584.70","1,649.15","1,578.60",,3.72%
02/09/2020,"1,584.32","1,570.29","1,585.05","1,561.80",,0.92%
02/02/2020,"1,569.91","1,590.20","1,591.84","1,547.40",,-1.25%
01/26/2020,"1,589.81","1,580.10","1,590.21","1,563.21",,1.24%
01/19/2020,"1,570.36","1,558.65","1,576.01","1,546.41",,0.91%
01/12/2020,"1,556.22","1,562.29","1,562.30","1,536.12",,-0.37%
01/05/2020,"1,562.03","1,561.15","1,611.15","1,540.18",,0.69%
12/29/2019,"1,551.40","1,511.80","1,553.70","1,510.43",,2.71%
12/22/2019,"1,510.42","1,478.20","1,515.47","1,477.51",,2.20%
12/15/2019,"1,477.95","1,475.60","1,481.97","1,470.32",,0.16%
12/08/2019,"1,475.56","1,459.49","1,486.95","1,458.76",,1.10%
12/01/2019,"1,459.51","1,467.03","1,484.55","1,453.91",,-0.30%
11/24/2019,"1,463.90","1,462.29","1,466.81","1,450.63",,0.13%
11/17/2019,"1,462.04","1,467.66","1,479.15","1,456.26",,-0.35%
11/10/2019,"1,467.12","1,458.96","1,474.62","1,445.61",,0.60%
11/03/2019,"1,458.41","1,513.80","1,514.97","1,456.28",,-3.64%
10/27/2019,"1,513.55","1,504.34","1,515.81","1,481.21",,0.61%
10/20/2019,"1,504.33","1,492.02","1,518.07","1,480.87",,0.98%
10/13/2019,"1,489.70","1,488.90","1,498.17","1,477.06",,0.02%
10/06/2019,"1,489.45","1,504.76","1,517.08","1,474.28",,-0.99%
09/29/2019,"1,504.35","1,497.07","1,518.81","1,459.00",,0.52%
09/22/2019,"1,496.56","1,516.66","1,535.85","1,487.04",,-1.33%
09/15/2019,"1,516.75","1,503.34","1,517.24","1,484.36",,1.90%
09/08/2019,"1,488.45","1,507.10","1,523.96","1,484.27",,-1.21%
09/01/2019,"1,506.70","1,520.10","1,557.38","1,502.89",,-0.87%
08/25/2019,"1,519.85","1,539.30","1,555.13","1,517.43",,-0.41%
08/18/2019,"1,526.10","1,511.15","1,530.11","1,491.85",,0.82%
08/11/2019,"1,513.75","1,497.65","1,534.75","1,481.38",,1.13%
08/04/2019,"1,496.84","1,440.65","1,510.28","1,437.03",,3.91%
07/28/2019,"1,440.45","1,419.49","1,448.23","1,400.65",,1.56%
07/21/2019,"1,418.31","1,425.15","1,433.84","1,411.08",,-0.46%
07/14/2019,"1,424.91","1,415.75","1,452.96","1,400.18",,0.67%
07/07/2019,"1,415.49","1,400.05","1,426.21","1,386.35",,1.14%
06/30/2019,"1,399.55","1,392.83","1,436.29","1,381.84",,-0.68%
06/23/2019,"1,409.10","1,401.35","1,438.99","1,400.21",,0.75%
06/16/2019,"1,398.65","1,342.05","1,411.08","1,332.83",,4.27%
06/09/2019,"1,341.33","1,335.94","1,358.40","1,319.74",,0.08%
06/02/2019,"1,340.30","1,307.40","1,348.45","1,306.62",,2.69%
05/26/2019,"1,305.25","1,285.80","1,307.11","1,274.82",,1.60%
05/19/2019,"1,284.65","1,277.80","1,287.62","1,269.34",,0.59%
05/12/2019,"1,277.15","1,286.71","1,303.47","1,274.91",,-0.66%
05/05/2019,"1,285.60","1,281.19","1,291.73","1,276.85",,0.52%
04/28/2019,"1,278.94","1,286.55","1,287.38","1,266.18",,-0.54%
04/21/2019,"1,285.85","1,275.83","1,289.01","1,266.25",,0.85%
04/14/2019,"1,275.01","1,290.60","1,292.08","1,271.07",,-1.16%
04/07/2019,"1,290.00","1,291.80","1,310.96","1,289.66",,-0.10%
03/31/2019,"1,291.30","1,291.48","1,297.23","1,280.91",,-0.05%
03/24/2019,"1,291.90","1,313.35","1,324.57","1,286.77",,-1.62%
03/17/2019,"1,313.13","1,302.34","1,320.62","1,298.19",,0.92%
03/10/2019,"1,301.13","1,298.85","1,311.56","1,290.34",,0.24%
03/03/2019,"1,298.01","1,293.61","1,300.85","1,281.10",,0.36%
02/24/2019,"1,293.31","1,328.89","1,332.80","1,290.24",,-2.59%
02/17/2019,"1,327.71","1,321.41","1,347.11","1,320.60",,0.51%
02/10/2019,"1,321.01","1,314.55","1,322.76","1,302.88",,0.53%
02/03/2019,"1,313.99","1,318.13","1,319.11","1,302.53",,-0.30%
01/27/2019,"1,317.93","1,303.82","1,326.65","1,297.54",,1.13%
01/20/2019,"1,303.14","1,281.64","1,303.78","1,276.58",,1.72%
01/13/2019,"1,281.11","1,287.70","1,296.21","1,280.49",,-0.50%
01/06/2019,"1,287.50","1,286.01","1,297.47","1,279.10",,0.21%
12/30/2018,"1,284.83","1,280.20","1,298.68","1,276.66",,0.32%
12/23/2018,"1,280.67","1,258.65","1,282.34","1,257.96",,1.97%
12/16/2018,"1,255.92","1,237.60","1,266.70","1,235.69",,1.43%
12/09/2018,"1,238.21","1,250.45","1,250.64","1,232.48",,-0.79%
12/02/2018,"1,248.10","1,223.42","1,250.42","1,221.39",,2.14%
11/25/2018,"1,221.97","1,223.99","1,229.05","1,210.74",,-0.10%
11/18/2018,"1,223.19","1,222.44","1,230.82","1,218.20",,0.14%
11/11/2018,"1,221.47","1,209.47","1,225.37","1,195.98",,0.98%
11/04/2018,"1,209.60","1,233.36","1,236.31","1,206.52",,-1.89%
10/28/2018,"1,232.89","1,234.17","1,237.80","1,211.93",,-0.06%
10/21/2018,"1,233.59","1,228.38","1,243.73","1,220.08",,0.59%
10/14/2018,"1,226.32","1,217.51","1,233.72","1,217.47",,0.69%
10/07/2018,"1,217.93","1,203.16","1,226.67","1,183.44",,1.25%
09/30/2018,"1,202.86","1,192.21","1,208.72","1,184.62",,0.90%
09/23/2018,"1,192.09","1,198.59","1,204.51","1,180.74",,-0.62%
09/16/2018,"1,199.55","1,193.24","1,211.47","1,191.97",,0.49%
09/09/2018,"1,193.71","1,195.07","1,213.05","1,187.61",,-0.18%
09/02/2018,"1,195.86","1,200.34","1,207.47","1,189.70",,-0.44%
08/26/2018,"1,201.09","1,206.94","1,214.66","1,196.33",,-0.40%
08/19/2018,"1,205.97","1,183.78","1,208.87","1,182.70",,1.79%
08/12/2018,"1,184.77","1,211.28","1,214.25","1,160.38",,-2.19%
08/05/2018,"1,211.30","1,213.71","1,218.30","1,205.85",,-0.18%
07/29/2018,"1,213.43","1,222.96","1,228.72","1,204.40",,-0.81%
07/22/2018,"1,223.38","1,231.30","1,235.57","1,217.34",,-0.68%
07/15/2018,"1,231.76","1,241.41","1,245.93","1,211.47",,-0.79%
07/08/2018,"1,241.52","1,255.24","1,266.39","1,237.10",,-1.07%
07/01/2018,"1,254.99","1,253.89","1,261.88","1,238.11",,0.16%
06/24/2018,"1,253.00","1,272.41","1,273.29","1,246.07",,-1.28%
06/17/2018,"1,269.28","1,279.55","1,284.85","1,261.63",,-0.83%
06/10/2018,"1,279.84","1,299.61","1,310.14","1,275.85",,-1.46%
06/03/2018,"1,298.75","1,293.51","1,303.83","1,290.13",,0.43%
05/27/2018,"1,293.14","1,298.74","1,306.87","1,289.52",,-0.65%
05/20/2018,"1,301.61","1,290.95","1,308.24","1,282.20",,0.70%
05/13/2018,"1,292.50","1,319.16","1,323.36","1,286.41",,-1.95%
05/06/2018,"1,318.22","1,315.18","1,326.49","1,304.64",,0.24%
04/29/2018,"1,315.05","1,322.80","1,325.33","1,301.91",,-0.59%
04/22/2018,"1,322.80","1,335.71","1,336.29","1,315.96",,-0.92%
04/15/2018,"1,335.12","1,344.61","1,356.14","1,335.07",,-0.77%
04/08/2018,"1,345.46","1,333.22","1,365.68","1,327.06",,0.92%
04/01/2018,"1,333.20","1,326.11","1,348.37","1,321.47",,0.62%
03/25/2018,"1,325.00","1,348.51","1,357.66","1,322.21",,-1.65%
03/18/2018,"1,347.22","1,314.02","1,350.66","1,307.37",,2.53%
03/11/2018,"1,314.00","1,324.31","1,331.02","1,310.31",,-0.73%
03/04/2018,"1,323.70","1,323.75","1,340.49","1,313.05",,0.11%
02/25/2018,"1,322.20","1,327.53","1,340.88","1,302.64",,-0.51%
02/18/2018,"1,328.94","1,347.19","1,351.03","1,320.68",,-1.40%
02/11/2018,"1,347.86","1,315.07","1,361.84","1,314.14",,2.37%
02/04/2018,"1,316.69","1,331.99","1,346.05","1,306.86",,-1.22%
01/28/2018,"1,332.98","1,349.74","1,352.33","1,327.21",,-1.27%
01/21/2018,"1,350.14","1,334.86","1,366.45","1,328.69",,1.38%
01/14/2018,"1,331.80","1,336.94","1,344.82","1,324.09",,-0.49%
01/07/2018,"1,338.40","1,320.02","1,339.40","1,307.97",,1.38%
12/31/2017,"1,320.21","1,302.89","1,326.26","1,302.85",,1.36%
12/24/2017,"1,302.55","1,274.95","1,307.69","1,273.30",,2.16%
12/17/2017,"1,275.01","1,253.80","1,276.38","1,252.70",,1.57%
12/10/2017,"1,255.26","1,247.27","1,261.89","1,236.00",,0.57%
12/03/2017,"1,248.14","1,273.22","1,277.54","1,244.10",,-2.51%
11/26/2017,"1,280.26","1,288.58","1,299.21","1,270.19",,-0.62%
11/19/2017,"1,288.22","1,293.01","1,295.12","1,275.25",,-0.48%
11/12/2017,"1,294.37","1,274.81","1,297.04","1,270.60",,1.43%
11/05/2017,"1,276.14","1,269.52","1,288.41","1,266.08",,0.50%
10/29/2017,"1,269.85","1,273.59","1,284.48","1,265.55",,-0.27%
10/22/2017,"1,273.35","1,277.82","1,284.41","1,264.10",,-0.58%
10/15/2017,"1,280.72","1,303.54","1,306.46","1,276.62",,-1.85%
10/08/2017,"1,304.88","1,275.65","1,304.88","1,275.41",,2.26%
10/01/2017,"1,276.03","1,279.82","1,282.76","1,260.89",,-0.27%
09/24/2017,"1,279.45","1,297.62","1,313.89","1,277.61",,-1.38%
09/17/2017,"1,297.38","1,319.97","1,319.97","1,288.01",,-1.69%
09/10/2017,"1,319.62","1,337.45","1,340.37","1,316.12",,-2.01%
09/03/2017,"1,346.71","1,334.40","1,357.94","1,327.39",,1.64%
08/27/2017,"1,324.97","1,292.18","1,329.20","1,291.90",,2.62%
08/20/2017,"1,291.15","1,283.33","1,294.14","1,278.66",,0.52%
08/13/2017,"1,284.50","1,289.40","1,301.20","1,267.63",,-0.37%
08/06/2017,"1,289.21","1,259.04","1,292.26","1,251.41",,2.43%
07/30/2017,"1,258.60","1,270.41","1,274.72","1,254.75",,-0.84%
07/23/2017,"1,269.25","1,255.78","1,271.34","1,243.91",,1.14%
07/16/2017,"1,254.90","1,228.60","1,256.30","1,228.30",,2.11%
07/09/2017,"1,228.98","1,213.70","1,233.16","1,204.85",,1.33%
07/02/2017,"1,212.90","1,241.46","1,242.83","1,207.25",,-2.31%
06/25/2017,"1,241.60","1,258.03","1,258.44","1,236.86",,-1.22%
06/18/2017,"1,256.90","1,254.00","1,259.31","1,241.25",,0.26%
06/11/2017,"1,253.63","1,267.20","1,279.87","1,251.55",,-1.01%
06/04/2017,"1,266.40","1,279.34","1,296.47","1,264.74",,-1.06%
05/28/2017,"1,279.98","1,267.50","1,279.98","1,259.00",,1.02%
05/21/2017,"1,267.05","1,256.09","1,269.88","1,247.63",,0.92%
05/14/2017,"1,255.55","1,228.40","1,265.54","1,227.20",,2.17%
05/07/2017,"1,228.83","1,225.67","1,237.10","1,214.31",,0.09%
04/30/2017,"1,227.74","1,268.24","1,271.24","1,225.35",,-3.19%
04/23/2017,"1,268.15","1,270.27","1,278.67","1,260.40",,-1.27%
04/16/2017,"1,284.50","1,292.96","1,295.92","1,276.23",,-0.09%
04/09/2017,"1,285.69","1,254.26","1,289.14","1,247.50",,2.52%
04/02/2017,"1,254.05","1,248.40","1,270.96","1,243.85",,0.39%
03/26/2017,"1,249.13","1,248.00","1,261.53","1,240.05",,0.40%
03/19/2017,"1,244.17","1,229.41","1,253.49","1,226.69",,1.22%
03/12/2017,"1,229.15","1,205.68","1,233.88","1,197.54",,2.04%
03/05/2017,"1,204.55","1,232.49","1,236.84","1,194.62",,-2.41%
02/26/2017,"1,234.30","1,257.41","1,263.88","1,222.59",,-1.80%
02/19/2017,"1,256.94","1,235.21","1,260.48","1,226.12",,1.75%
02/12/2017,"1,235.29","1,231.52","1,243.84","1,216.48",,0.09%
02/05/2017,"1,234.12","1,219.67","1,244.78","1,219.01",,1.17%
01/29/2017,"1,219.88","1,192.54","1,225.38","1,187.85",,2.37%
01/22/2017,"1,191.60","1,209.71","1,219.97","1,181.04",,-1.52%
01/15/2017,"1,209.96","1,200.57","1,219.04","1,195.87",,1.03%
01/08/2017,"1,197.66","1,172.93","1,207.38","1,172.18",,2.12%
01/01/2017,"1,172.81","1,150.80","1,184.99","1,145.77",,1.82%
12/25/2016,"1,151.85","1,133.94","1,163.53","1,131.73",,1.62%
12/18/2016,"1,133.49","1,134.35","1,142.70","1,125.62",,-0.05%
12/11/2016,"1,134.09","1,159.02","1,165.86","1,122.45",,-2.05%
12/04/2016,"1,157.87","1,182.84","1,187.83","1,156.17",,-1.62%
11/27/2016,"1,176.92","1,183.08","1,197.58","1,160.42",,-0.57%
11/20/2016,"1,183.63","1,208.46","1,221.81","1,171.96",,-2.07%
11/13/2016,"1,208.69","1,227.89","1,233.45","1,203.90",,-1.39%
11/06/2016,"1,225.68","1,291.61","1,337.50","1,219.50",,-6.02%
10/30/2016,"1,304.25","1,278.41","1,308.26","1,271.29",,2.19%
10/23/2016,"1,276.30","1,266.21","1,284.53","1,260.75",,0.75%
10/16/2016,"1,266.75","1,250.25","1,274.32","1,250.25",,1.30%
10/09/2016,"1,250.55","1,257.58","1,265.46","1,247.51",,-0.51%
10/02/2016,"1,256.97","1,318.22","1,320.09","1,241.68",,-4.48%
09/25/2016,"1,315.96","1,336.82","1,342.21","1,312.83",,-1.62%
09/18/2016,"1,337.61","1,310.99","1,344.04","1,308.60",,2.07%
09/11/2016,"1,310.43","1,328.18","1,332.56","1,306.62",,-1.33%
09/04/2016,"1,328.15","1,324.13","1,353.11","1,322.02",,0.24%
08/28/2016,"1,325.01","1,320.42","1,329.09","1,302.27",,0.28%
08/21/2016,"1,321.33","1,340.56","1,345.18","1,317.94",,-1.52%
08/14/2016,"1,341.78","1,338.19","1,358.57","1,336.07",,0.42%
08/07/2016,"1,336.19","1,335.37","1,357.65","1,330.03",,0.03%
07/31/2016,"1,335.80","1,350.22","1,368.03","1,334.87",,-1.12%
07/24/2016,"1,350.91","1,322.50","1,355.42","1,312.35",,2.16%
07/17/2016,"1,322.38","1,332.79","1,336.28","1,310.93",,-1.16%
07/10/2016,"1,337.85","1,368.71","1,375.11","1,320.22",,-2.12%
07/03/2016,"1,366.80","1,342.60","1,375.31","1,336.08",,1.83%
06/26/2016,"1,342.30","1,326.24","1,344.60","1,305.62",,2.00%
06/19/2016,"1,315.98","1,285.90","1,358.70","1,251.66",,1.34%
06/12/2016,"1,298.60","1,274.04","1,315.93","1,272.68",,1.91%
06/05/2016,"1,274.20","1,242.80","1,278.10","1,234.85",,2.39%
05/29/2016,"1,244.49","1,213.41","1,244.91","1,200.01",,2.65%
05/22/2016,"1,212.40","1,250.91","1,255.86","1,206.70",,-3.19%
05/15/2016,"1,252.30","1,272.49","1,288.59","1,244.38",,-1.67%
05/08/2016,"1,273.60","1,284.95","1,288.00","1,257.65",,-1.17%
05/01/2016,"1,288.70","1,293.71","1,304.00","1,269.26",,-0.39%
04/24/2016,"1,293.74","1,232.09","1,296.49","1,230.09",,4.99%
04/17/2016,"1,232.30","1,234.09","1,270.48","1,227.35",,-0.14%
04/10/2016,"1,234.05","1,239.78","1,262.98","1,223.79",,-0.51%
04/03/2016,"1,240.39","1,219.98","1,243.88","1,214.34",,1.46%
03/27/2016,"1,222.49","1,214.49","1,243.29","1,208.54",,0.49%
03/20/2016,"1,216.47","1,254.62","1,259.97","1,212.58",,-3.09%
03/13/2016,"1,255.30","1,251.32","1,271.61","1,226.41",,0.55%
03/06/2016,"1,248.44","1,259.48","1,282.89","1,237.44",,-0.87%
02/28/2016,"1,259.44","1,222.73","1,279.98","1,217.98",,3.01%
02/21/2016,"1,222.60","1,226.13","1,253.30","1,202.02",,-0.46%
02/14/2016,"1,228.19","1,232.55","1,239.88","1,190.79",,-0.80%
02/07/2016,"1,238.05","1,170.89","1,260.98","1,164.09",,5.48%
01/31/2016,"1,173.69","1,117.90","1,174.90","1,116.26",,4.98%
01/24/2016,"1,118.04","1,097.86","1,128.20","1,097.36",,1.80%
01/17/2016,"1,098.30","1,089.60","1,109.59","1,082.93",,0.84%
01/10/2016,"1,089.10","1,104.17","1,108.49","1,071.38",,-1.37%
01/03/2016,"1,104.24","1,065.36","1,112.40","1,061.90",,4.10%
12/27/2015,"1,060.74","1,076.10","1,077.25","1,058.50",,-1.41%
12/20/2015,"1,075.88","1,065.93","1,081.88","1,063.88",,0.91%
