Line,,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted
Line,,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3
,Current account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Capital transfer receipts and other credits,10,10,11,11,9,9,13202,12,13,14,15,16,19,20,26,23,17,16,3713,19,23,21,15404,25,1,2,4,3,4,494,3,1,(*),4,6174,2,1,1,3,2,(*),2,4,3,(*),1,6,6,4,3,7,7670,5,5,7,3,9,4,18,18,16,15,18,17,25,15,21,16,10,23,19161,6,6,7,534,2734,42,6,15,8,10,5,348,9,23,9,3819,13,42,7,8326,22,43,7,17,15,44,7,1649
18,Capital transfer payments and other debits,512,364,822,2561,99,136,352,477,2158,360,387,978,1930,2911,2434,1314,2900,1134,1912,2163,6157,1952,2420,3995,2517,1847,1432,1654,3078,822,933,1727,2865,900,1024,1564,952,2313,1363,1257,3169,1078,1175,1479,1695,4093,1539,1705,2051,1797,1531,1373,1676,1887,1469,1547,2371,1302,1238,1673,3015,1281,2202,1508,2260,1093,1373,1956,2126,2023,948,1709,1353,2944,982,2262,2775,871,915,1965,2918,992,940,1132,2366,658,588,1675,1409,2470,2054,2645,2563,1068,1011,1760,1856,1479,3306
,Financial account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Net U.S. acquisition of financial assets excluding financial derivatives (net increase in assets / financial outflow (+)),227139,113394,84124,163024,212379,98252,-29491,105173,92880,161786,7875,56635,96077,164741,11429,98857,376079,182993,190552,309037,132193,238597,214416,-22209,430838,243832,302966,346986,553802,581285,225296,203084,266966,-158757,-85193,-340609,-111137,-19016,323641,-62406,263037,171357,317157,207186,398543,10872,93897,-10756,-79263,-147343,295974,101991,222355,215636,32645,155553,199105,224572,368424,73592,345378,46032,-87487,-159819,49548,364121,59395,-136626,361258,331190,372791,96746,353958,-155943,127306,104389,92443,72641,161793,-11297,856609,-199320,72122,225397,451711,246795,478860,13662,410528,370704,316717,-350840,211894,212540,281968,272202,376505,191027,215979
20,"  Direct investment assets",54467,58122,38895,34886,31561,38333,47694,28453,56189,58237,41932,22627,36420,53812,51273,53713,99384,87869,73083,113670,61821,57734,-2109,-64855,101935,55037,79728,47100,167491,106502,112730,137166,120827,114359,94963,13435,86845,95085,100960,29707,106822,79264,115129,48613,139404,153302,80081,63827,119775,97649,95237,64578,84028,145049,108076,55643,79942,94958,123610,89018,100443,102786,63234,35608,89142,121176,101084,-11588,136834,94351,140232,37996,-27359,-58294,81837,-126903,1217,83314,11339,19054,31025,83029,151361,16917,81279,128220,101153,31302,158822,102718,55680,71289,101554,81950,131855,138725,127051,59887,96776
21,"  Portfolio investment assets",41619,28526,46849,42719,35356,44656,-9868,36775,14587,42115,-9506,32336,11012,42216,13261,66571,44589,53688,46656,47023,60613,61965,58471,86242,100461,109822,145027,138056,97818,173884,131122,-22018,26446,-6532,-139775,-164407,71200,138043,144273,22368,78773,-1863,49064,73645,115962,69344,-43647,-56295,-9039,73625,122897,55699,151525,158496,12689,135024,102007,199102,143870,136690,207046,103160,-122593,-80459,-68413,143249,-19480,-17868,134329,152145,139126,115128,289009,2884,93480,-3510,-54228,18343,28859,-4427,104828,35819,137091,128630,337343,175898,303444,-105144,191983,236902,270789,-376955,18614,53042,48595,-38689,162791,110910,86436
22,"  Other investment assets",130499,28766,-1966,84009,145652,13920,-70876,39746,22494,59591,-25967,860,48728,68544,-53715,-19206,232663,42558,71242,149041,15091,118100,162818,-38799,228954,78412,79218,163245,288421,300926,-18611,87914,119417,-267851,-40559,-192762,-270164,-255775,29388,-113102,76668,93790,151867,85128,139558,-218041,53384,-20201,-191232,-321906,77007,-17391,-14074,-87718,-87119,-32331,18113,-70261,101833,-149605,42049,-159038,-27863,-113979,30010,99506,-23851,-108620,90336,84543,93493,-54839,92315,-103601,-47833,232697,145245,-31375,119713,-26133,721001,-323129,-218150,77411,35189,-57800,-38339,84491,58790,29903,-10549,-48077,90948,77276,101118,173574,84154,19551,32761
23,"  Reserve assets",554,-2020,346,1410,-190,1343,3559,199,-390,1843,1416,812,-83,170,611,-2221,-557,-1122,-429,-697,-5331,797,-4765,-4796,-513,560,-1006,-1415,72,-26,54,22,276,1267,179,3126,982,3632,49021,-1379,773,165,1096,-200,3619,6267,4079,1912,1233,3289,833,-895,875,-191,-1001,-2782,-956,773,-889,-2511,-4159,-877,-266,-990,-1191,189,1642,1450,-241,150,-61,-1539,-7,3068,-177,2105,208,2359,1882,210,-245,4960,1820,2438,-2100,477,112603,3013,932,1181,797,2903,778,272,400,-1408,2509,679,7
24,Net U.S. incurrence of liabilities excluding financial derivatives (net increase in liabilities / financial inflow (+)),258248,252723,243575,311529,322347,216942,27827,221229,178588,251969,167520,223767,251674,226172,141477,292336,478580,345753,293332,483216,235906,325453,431330,284367,584071,431879,532998,571531,788716,738059,298567,364744,473022,751,95977,-107342,-109333,-12262,347094,100145,320671,187676,560657,322038,597879,130344,252468,2830,189067,-122269,298458,266778,256177,249697,173580,372614,305656,300203,374010,129574,430145,185302,-35708,-76271,134940,363424,256364,-48035,426564,448477,504367,179812,430205,-147347,111148,318171,150395,299142,285259,97470,984218,-142652,265411,514689,629784,447686,677787,220369,682093,455516,526793,-128887,585143,312873,466981,522087,544856,335174,716666
25,"  Direct investment liabilities",67560,97828,78490,105247,50725,69413,17384,34974,29848,27838,21114,32255,47933,2981,10727,55465,45096,46780,53297,68469,40595,11568,43942,46240,82781,89838,63053,62792,111808,85879,114976,33952,105321,87251,86597,61922,7116,55788,66424,31754,45268,37740,109888,71143,74215,79214,63582,46488,48096,94984,44902,62361,36556,102489,79283,69804,-69815,83087,116314,122270,244497,120575,71368,74996,139020,178717,142690,13960,113361,94007,104293,69161,50347,-2888,133163,34095,93167,107029,75800,39987,36433,-53123,120316,33441,56531,128681,162968,127623,136418,75734,127878,68951,93327,92331,66621,96505,68096,120675,96626
