Date,Price,Open,High,Low,Change %
03/10/2024,103.43,102.74,103.49,102.64,0.70%
03/03/2024,102.71,103.89,103.96,102.36,-1.11%
02/25/2024,103.86,103.96,104.29,103.61,-0.07%
02/18/2024,103.94,104.28,104.41,103.43,-0.35%
02/11/2024,104.3,104.08,104.98,103.89,0.18%
02/04/2024,104.11,103.96,104.6,103.94,0.18%
01/28/2024,103.92,103.47,104.04,102.9,0.47%
01/21/2024,103.43,103.24,103.82,102.77,0.14%
01/14/2024,103.29,102.44,103.69,102.31,0.86%
01/07/2024,102.4,102.43,102.76,102.07,-0.01%
12/31/2023,102.41,101.42,103.1,101.34,1.06%
12/24/2023,101.33,101.65,101.77,100.62,-0.36%
12/17/2023,101.7,102.59,102.63,101.43,-0.83%
12/10/2023,102.55,103.98,104.26,101.77,-1.40%
12/03/2023,104.01,103.19,104.26,103.06,0.72%
11/26/2023,103.27,103.42,103.72,102.47,-0.13%
11/19/2023,103.4,103.82,104.21,103.18,-0.49%
11/12/2023,103.92,105.8,105.96,103.81,-1.84%
11/05/2023,105.86,105.07,106.01,104.85,0.80%
10/29/2023,105.02,106.58,107.11,104.94,-1.44%
10/22/2023,106.56,106.16,106.89,105.36,0.37%
10/15/2023,106.16,106.58,106.67,105.97,-0.45%
10/08/2023,106.65,106.1,106.79,105.54,0.57%
10/01/2023,106.04,106.17,107.35,105.95,-0.17%
09/24/2023,106.22,105.57,106.84,105.52,0.61%
09/17/2023,105.58,105.3,105.78,104.67,0.25%
09/10/2023,105.32,105.06,105.43,104.42,0.22%
09/03/2023,105.09,104.26,105.16,104.03,0.82%
08/27/2023,104.24,104.19,104.36,102.94,0.15%
08/20/2023,104.08,103.43,104.45,103.01,0.68%
08/13/2023,103.38,102.85,103.68,102.77,0.52%
08/06/2023,102.84,101.99,102.91,101.78,0.81%
07/30/2023,102.02,101.89,102.84,101.74,0.39%
07/23/2023,101.62,101.05,102.04,100.55,0.55%
07/16/2023,101.07,99.96,101.19,99.59,1.16%
07/09/2023,99.91,102.29,102.56,99.58,-2.31%
07/02/2023,102.27,102.93,103.57,102.23,-0.62%
06/25/2023,102.91,102.87,103.54,102.32,0.01%
06/18/2023,102.9,102.3,103.17,101.92,0.65%
06/11/2023,102.24,103.55,103.76,102.01,-1.27%
06/04/2023,103.56,104.04,104.4,103.29,-0.44%
05/28/2023,104.01,104.24,104.7,103.38,-0.18%
05/21/2023,104.21,103.19,104.42,102.96,0.98%
05/14/2023,103.2,102.71,103.62,102.2,0.50%
05/07/2023,102.68,101.28,102.71,101.04,1.45%
04/30/2023,101.21,101.67,102.4,101.03,-0.44%
04/23/2023,101.66,101.72,102.17,101.01,-0.16%
04/16/2023,101.82,101.58,102.23,101.53,0.27%
04/09/2023,101.55,102.1,102.81,100.79,-0.53%
04/02/2023,102.09,102.59,103.06,101.42,-0.40%
03/26/2023,102.51,103.11,103.23,102.05,-0.59%
03/19/2023,103.12,103.86,103.96,101.92,-0.57%
03/12/2023,103.71,104.64,105.1,103.44,-0.83%
03/05/2023,104.58,104.53,105.88,104.04,0.05%
02/26/2023,104.52,105.26,105.36,104.09,-0.66%
02/19/2023,105.21,103.88,105.32,103.76,1.30%
02/12/2023,103.86,103.58,104.67,102.59,0.22%
02/05/2023,103.63,103.1,103.96,102.64,0.69%
01/29/2023,102.92,101.92,103.01,100.82,0.97%
01/22/2023,101.93,101.99,102.43,101.5,-0.08%
01/15/2023,102.01,102.18,102.9,101.53,-0.19%
01/08/2023,102.2,103.91,103.93,101.99,-1.61%
01/01/2023,103.88,103.66,105.63,103.47,0.34%
12/25/2022,103.52,104.12,104.56,103.39,-0.76%
12/18/2022,104.31,104.84,104.93,103.75,-0.37%
12/11/2022,104.7,104.93,105.25,103.45,-0.10%
12/04/2022,104.81,104.51,105.82,104.11,0.25%
11/27/2022,104.54,106.06,107.19,104.38,-1.33%
11/20/2022,105.96,106.97,107.99,105.63,-0.91%
11/13/2022,106.93,106.42,107.27,105.34,0.60%
11/06/2022,106.29,110.79,111.27,106.28,-4.14%
10/30/2022,110.88,110.67,113.15,110.43,0.11%
10/23/2022,110.75,111.88,112.53,109.54,-1.12%
10/16/2022,112.01,113.22,113.94,111.7,-1.15%
10/09/2022,113.31,112.75,113.92,112.15,0.46%
10/02/2022,112.79,112.17,112.88,110.06,0.60%
09/25/2022,112.12,113.02,114.78,111.58,-0.95%
09/18/2022,113.19,109.64,113.23,109.36,3.12%
09/11/2022,109.76,108.6,110.26,107.68,0.70%
09/04/2022,109,109.61,110.79,108.36,-0.48%
08/28/2022,109.53,108.84,109.98,108.29,0.67%
08/21/2022,108.8,108.1,109.27,107.59,0.59%
08/14/2022,108.17,105.67,108.21,105.55,2.40%
08/07/2022,105.63,106.58,106.8,104.64,-0.93%
07/31/2022,106.62,105.83,106.93,105.05,0.68%
07/24/2022,105.9,106.54,107.43,105.54,-0.77%
07/17/2022,106.73,107.98,108.04,106.11,-1.23%
07/10/2022,108.06,106.89,109.29,106.92,0.99%
07/03/2022,107.01,105.12,107.79,104.82,1.78%
06/26/2022,105.14,104.12,105.64,103.67,0.91%
06/19/2022,104.18,104.65,104.95,103.86,-0.49%
06/12/2022,104.7,104.19,105.79,103.42,0.53%
06/05/2022,104.15,102.17,104.23,101.85,1.97%
05/29/2022,102.14,101.64,102.73,101.3,0.46%
05/22/2022,101.67,103.03,103.05,101.43,-1.44%
05/15/2022,103.15,104.46,104.64,102.66,-1.35%
05/08/2022,104.56,103.66,105,103.37,0.87%
05/01/2022,103.66,103.21,104.06,102.35,0.68%
04/24/2022,102.96,101.12,103.93,101.04,1.72%
04/17/2022,101.22,100.5,101.33,99.82,0.90%
04/10/2022,100.32,99.84,100.76,99.57,0.53%
04/03/2022,99.8,98.57,100.19,98.52,1.18%
03/27/2022,98.63,98.81,99.37,97.68,-0.16%
03/20/2022,98.79,98.24,98.96,98.16,0.57%
03/13/2022,98.23,99.13,99.29,97.73,-0.90%
03/06/2022,99.12,98.51,99.42,97.71,0.48%
02/27/2022,98.65,96.54,98.92,96.54,2.10%
02/20/2022,96.61,96.11,97.74,95.69,0.60%
02/13/2022,96.04,96.03,96.43,95.68,-0.04%
02/06/2022,96.08,95.48,96.11,95.17,0.63%
01/30/2022,95.49,97.22,97.3,95.14,-1.84%
01/23/2022,97.27,95.64,97.44,95.63,1.70%
01/16/2022,95.64,95.17,95.86,95.04,0.50%
01/09/2022,95.17,95.74,96.23,94.63,-0.58%
01/02/2022,95.72,95.67,96.46,95.63,-0.26%
12/26/2021,95.97,96.15,96.39,95.57,-0.05%
12/19/2021,96.02,96.67,96.69,95.99,-0.57%
12/12/2021,96.57,96.05,96.91,95.85,0.49%
12/05/2021,96.1,96.15,96.59,95.85,-0.02%
11/28/2021,96.12,96.07,96.64,95.52,0.03%
11/21/2021,96.09,96.07,96.94,95.75,0.06%
11/14/2021,96.03,95.12,96.24,94.97,0.95%
11/07/2021,95.13,94.25,95.26,93.88,0.86%
10/31/2021,94.32,94.13,94.62,93.82,0.21%
10/24/2021,94.12,93.66,94.3,93.28,0.51%
10/17/2021,93.64,93.95,94.17,93.5,-0.31%
10/10/2021,93.94,94.1,94.56,93.76,-0.14%
10/03/2021,94.07,94.07,94.45,93.68,0.03%
09/26/2021,94.04,93.28,94.5,93.21,0.76%
09/19/2021,93.33,93.25,93.52,92.98,0.14%
09/12/2021,93.19,92.61,93.25,92.32,0.66%
09/05/2021,92.58,92.12,92.86,92.04,0.59%
08/29/2021,92.04,92.68,92.79,91.95,-0.70%
08/22/2021,92.69,93.46,93.5,92.63,-0.87%
08/15/2021,93.5,92.52,93.73,92.48,1.06%
08/08/2021,92.52,92.78,93.19,92.47,-0.30%
08/01/2021,92.8,92.09,92.84,91.82,0.68%
07/25/2021,92.17,92.91,92.96,91.78,-0.79%
07/18/2021,92.91,92.71,93.19,92.51,0.24%
07/11/2021,92.69,92.1,92.83,92.08,0.60%
07/04/2021,92.13,92.24,92.85,92,-0.10%
06/27/2021,92.23,91.81,92.74,91.7,0.41%
06/20/2021,91.85,92.32,92.37,91.51,-0.41%
06/13/2021,92.22,90.51,92.4,90.35,1.84%
06/06/2021,90.56,90.13,90.61,89.84,0.46%
05/30/2021,90.14,90.06,90.63,89.66,0.12%
05/23/2021,90.03,90.03,90.44,89.54,0.02%
05/16/2021,90.02,90.3,90.43,89.65,-0.34%
05/09/2021,90.32,90.23,90.91,89.98,0.10%
05/02/2021,90.23,91.3,91.44,90.19,-1.15%
04/25/2021,91.28,90.83,91.32,90.42,0.46%
04/18/2021,90.86,91.54,91.75,90.81,-0.76%
04/11/2021,91.56,92.18,92.33,91.49,-0.66%
04/04/2021,92.16,93.01,93.11,92,-0.92%
03/28/2021,93.02,92.72,93.44,92.72,0.28%
03/21/2021,92.77,92.07,92.92,91.71,0.92%
03/14/2021,91.92,91.66,92.17,91.3,0.26%
03/07/2021,91.68,91.99,92.5,91.36,-0.32%
02/28/2021,91.98,90.93,92.19,90.63,1.21%
02/21/2021,90.88,90.34,90.97,89.68,0.57%
02/14/2021,90.36,90.45,91.06,90.12,-0.13%
02/07/2021,90.48,91,91.24,90.25,-0.62%
01/31/2021,91.04,90.53,91.6,90.5,0.51%
01/24/2021,90.58,90.23,90.88,90.08,0.38%
01/17/2021,90.24,90.78,90.95,90.05,-0.59%
01/10/2021,90.77,90.07,90.8,89.92,0.75%
01/03/2021,90.1,89.93,90.25,89.21,0.18%
12/27/2020,89.94,90.22,90.38,89.52,-0.43%
12/20/2020,90.32,89.92,91.02,89.92,0.34%
12/13/2020,90.02,90.98,90.98,89.73,-1.06%
12/06/2020,90.98,90.81,91.24,90.62,0.30%
11/29/2020,90.7,91.78,92.05,90.48,-1.19%
11/22/2020,91.79,92.4,92.8,91.76,-0.65%
11/15/2020,92.39,92.72,92.84,92.21,-0.39%
11/08/2020,92.75,92.24,93.21,92.13,0.57%
11/01/2020,92.23,93.89,94.3,92.18,-1.92%
10/25/2020,94.04,92.76,94.1,92.74,1.37%
10/18/2020,92.77,93.72,93.77,92.47,-0.98%
10/11/2020,93.68,93.06,93.9,93.01,0.67%
10/04/2020,93.06,93.81,93.9,93,-0.84%
09/27/2020,93.84,94.58,94.64,93.53,-0.84%
09/20/2020,94.64,93,94.74,92.75,1.85%
09/13/2020,92.93,93.29,93.59,92.77,-0.44%
09/06/2020,93.33,92.97,93.66,92.7,0.66%
08/30/2020,92.72,92.3,93.24,91.75,0.38%
08/23/2020,92.37,93.2,93.36,92.2,-0.94%
08/16/2020,93.25,93.1,93.47,92.13,0.16%
08/09/2020,93.1,93.39,93.9,92.93,-0.36%
08/02/2020,93.43,93.46,93.99,92.52,0.09%
07/26/2020,93.35,94.35,94.42,92.55,-1.15%
07/19/2020,94.43,96.01,96.18,94.33,-1.57%
07/12/2020,95.94,96.66,96.7,95.78,-0.73%
07/05/2020,96.65,97.15,97.19,96.24,-0.54%
06/28/2020,97.17,97.5,97.8,96.81,-0.27%
06/21/2020,97.43,97.66,97.74,96.39,-0.19%
06/14/2020,97.62,97.09,97.72,96.43,0.31%
06/07/2020,97.32,96.84,97.45,95.72,0.39%
05/31/2020,96.94,98.3,98.32,96.44,-1.43%
05/24/2020,98.34,99.79,99.97,97.94,-1.52%
05/17/2020,99.86,100.36,100.47,99,-0.54%
05/10/2020,100.4,99.12,100.56,99.12,0.67%
05/03/2020,99.73,98.57,100.4,98.57,0.66%
04/26/2020,99.08,100.23,100.32,98.64,-1.30%
04/19/2020,100.38,99.71,100.87,99.65,0.60%
04/12/2020,99.78,99.49,100.3,98.82,0.27%
04/05/2020,99.52,100.66,100.93,99.36,-1.05%
03/29/2020,100.58,98.31,100.85,98.29,2.25%
03/22/2020,98.36,101.95,102.98,98.27,-4.33%
03/15/2020,102.82,98.7,102.99,97.45,4.12%
03/08/2020,98.75,96.11,98.81,94.65,2.92%
03/01/2020,95.95,98.12,98.12,95.71,-2.22%
02/23/2020,98.13,99.34,99.64,97.96,-1.14%
02/16/2020,99.26,99.16,99.91,99,0.14%
02/09/2020,99.12,98.7,99.17,98.6,0.45%
02/02/2020,98.68,97.37,98.72,97.37,1.33%
01/26/2020,97.39,97.88,98.19,97.35,-0.47%
01/19/2020,97.85,97.64,97.95,97.39,0.22%
01/12/2020,97.64,97.35,97.66,97.08,0.29%
01/05/2020,97.36,96.9,97.58,96.54,0.53%
12/29/2019,96.84,97.01,97.11,96.36,-0.08%
12/22/2019,96.92,97.67,97.82,96.92,-0.79%
12/15/2019,97.69,97.18,97.76,96.93,0.53%
12/08/2019,97.17,97.68,97.72,96.59,-0.54%
12/01/2019,97.7,98.27,98.38,97.36,-0.58%
11/24/2019,98.27,98.26,98.54,98.17,0.00%
11/17/2019,98.27,97.98,98.31,97.68,0.28%
11/10/2019,98,98.37,98.45,97.96,-0.36%
11/03/2019,98.35,97.22,98.4,97.17,1.15%
10/27/2019,97.24,97.85,98,97.11,-0.61%
10/20/2019,97.83,97.34,97.9,97.15,0.56%
10/13/2019,97.28,98.36,98.64,97.14,-1.04%
10/06/2019,98.3,98.82,99.25,98.2,-0.51%
09/29/2019,98.81,99.12,99.67,98.64,-0.30%
09/22/2019,99.11,98.51,99.31,98.29,0.60%
09/15/2019,98.51,98.12,98.74,98.03,0.26%
09/08/2019,98.26,98.42,99.1,97.86,-0.14%
09/01/2019,98.39,98.83,99.37,98.01,-0.53%
08/25/2019,98.92,97.59,99.02,97.48,1.31%
08/18/2019,97.64,98.17,98.45,97.17,-0.51%
08/11/2019,98.14,97.54,98.34,97.32,0.67%
08/04/2019,97.49,98.11,98.14,97.03,-0.59%
07/28/2019,98.07,97.99,98.93,97.9,0.07%
07/21/2019,98.01,97.14,98.09,97.13,0.88%
07/14/2019,97.15,96.84,97.44,96.67,0.35%
07/07/2019,96.81,97.23,97.59,96.72,-0.49%
06/30/2019,97.29,96.25,97.44,96.25,1.20%
06/23/2019,96.13,96.18,96.39,95.84,-0.09%
06/16/2019,96.22,97.52,97.77,96.09,-1.39%
06/09/2019,97.57,96.64,97.58,96.58,1.06%
06/02/2019,96.54,97.64,97.8,96.46,-1.23%
05/26/2019,97.75,97.57,98.28,97.55,0.14%
05/19/2019,97.61,97.96,98.37,97.55,-0.39%
05/12/2019,98,97.3,98.03,97.03,0.68%
05/05/2019,97.33,97.56,97.74,97.13,-0.19%
04/28/2019,97.52,98.03,98.1,97.15,-0.50%
04/21/2019,98.01,97.38,98.33,97.26,0.64%
04/14/2019,97.38,96.93,97.49,96.79,0.42%
04/07/2019,96.97,97.39,97.4,96.75,-0.43%
03/31/2019,97.39,97.18,97.52,96.96,0.11%
03/24/2019,97.28,96.64,97.34,96.41,0.65%
03/17/2019,96.65,96.57,96.81,95.74,0.06%
03/10/2019,96.6,97.39,97.45,96.39,-0.73%
03/03/2019,97.31,96.34,97.71,96.33,0.81%
02/24/2019,96.53,96.52,96.6,95.82,0.02%
02/17/2019,96.51,96.81,97.08,96.29,-0.41%
02/10/2019,96.9,96.66,97.37,96.62,0.28%
02/03/2019,96.64,95.6,96.69,95.57,1.11%
01/27/2019,95.58,95.79,95.98,95.16,-0.22%
01/20/2019,95.79,96.35,96.68,95.74,-0.56%
01/13/2019,96.34,95.65,96.39,95.47,0.70%
01/06/2019,95.67,96.16,96.16,95.03,-0.53%
12/30/2018,96.18,96.4,96.96,95.65,-0.23%
12/23/2018,96.4,96.93,97.12,96.19,-0.57%
12/16/2018,96.96,97.43,97.46,96.17,-0.50%
12/09/2018,97.44,96.71,97.71,96.36,0.96%
12/02/2018,96.51,97.13,97.21,96.38,-0.78%
11/25/2018,97.27,96.93,97.54,96.63,0.37%
11/18/2018,96.92,96.43,96.98,96.04,0.47%
11/11/2018,96.46,97.05,97.69,96.4,-0.45%
11/04/2018,96.9,96.44,97.01,95.68,0.38%
10/28/2018,96.54,96.44,97.2,95.99,0.19%
10/21/2018,96.36,95.66,96.86,95.47,0.67%
10/14/2018,95.71,95.35,96.09,94.79,0.52%
10/07/2018,95.22,95.62,96.15,94.95,-0.42%
09/30/2018,95.62,95.11,96.12,95,0.52%
09/23/2018,95.13,94.23,95.37,93.84,0.97%
09/16/2018,94.22,94.93,94.98,93.81,-0.74%
09/09/2018,94.93,95.43,95.56,94.36,-0.46%
09/02/2018,95.36,95.19,95.74,94.87,0.24%
08/26/2018,95.14,95.17,95.3,94.43,-0.01%
08/19/2018,95.15,96.13,96.4,94.93,-0.99%
08/12/2018,96.1,96.32,96.98,96.09,-0.27%
08/05/2018,96.36,95.2,96.45,94.99,1.28%
07/29/2018,95.14,94.66,95.37,94.16,0.49%
07/22/2018,94.68,94.43,94.91,94.08,0.24%
07/15/2018,94.45,94.69,95.65,94.3,-0.32%
07/08/2018,94.75,93.96,95.24,93.71,0.76%
07/01/2018,94.04,94.63,95.14,93.92,-0.63%
06/24/2018,94.64,94.5,95.53,94.17,0.13%
06/17/2018,94.52,94.79,95.53,94.43,-0.29%
06/10/2018,94.79,93.54,95.13,93.19,1.32%
06/03/2018,93.55,94.15,94.32,93.21,-0.68%
05/27/2018,94.19,94.25,95.03,93.72,0.00%
05/20/2018,94.19,93.69,94.3,93.29,0.59%
05/13/2018,93.64,92.55,93.83,92.24,1.19%
05/06/2018,92.54,92.57,93.42,92.37,-0.03%
04/29/2018,92.57,91.53,92.9,91.48,1.12%
04/22/2018,91.54,90.35,91.99,90.32,1.36%
04/15/2018,90.32,89.77,90.48,89.23,0.57%
04/08/2018,89.8,90.07,90.27,89.36,-0.34%
04/01/2018,90.11,89.97,90.6,89.82,0.15%
03/25/2018,89.97,89.47,90.18,88.94,0.55%
03/18/2018,89.48,90.2,90.44,89.4,-0.83%
03/11/2018,90.23,90.11,90.38,89.56,0.16%
03/04/2018,90.09,89.83,90.36,89.41,0.18%
02/25/2018,89.93,89.96,90.93,89.5,0.06%
02/18/2018,89.88,89.1,90.24,88.96,0.88%
02/11/2018,89.1,90.35,90.43,88.25,-1.48%
02/04/2018,90.44,89.35,90.57,89.02,1.40%
01/28/2018,89.19,89.11,89.64,88.56,0.14%
01/21/2018,89.07,90.44,90.7,88.44,-1.66%
01/14/2018,90.57,90.94,91,90.11,-0.44%
01/07/2018,90.97,92.06,92.64,90.9,-1.06%
12/31/2017,91.95,92.24,92.26,91.75,-0.19%
12/24/2017,92.12,93.37,93.4,92.08,-1.31%
12/17/2017,93.35,93.98,94.03,93.16,-0.62%
12/10/2017,93.93,93.93,94.22,93.28,0.03%
12/03/2017,93.9,93.17,94.09,93.04,1.09%
11/26/2017,92.89,92.73,93.5,92.5,0.11%
11/19/2017,92.78,93.71,94.17,92.68,-0.94%
11/12/2017,93.66,94.42,94.64,93.4,-0.77%
11/05/2017,94.39,94.87,95.15,94.26,-0.58%
10/29/2017,94.94,94.83,95.01,94.41,0.03%
10/22/2017,94.92,93.82,95.15,93.48,1.30%
10/15/2017,93.7,93.08,93.8,93.06,0.66%
10/08/2017,93.09,93.77,93.84,92.75,-0.76%
10/01/2017,93.8,93.22,94.27,93.12,0.78%
09/24/2017,93.08,92.42,93.67,92.21,0.98%
09/17/2017,92.17,91.95,92.7,91.53,0.33%
09/10/2017,91.87,91.44,92.66,91.42,0.57%
09/03/2017,91.35,92.66,92.73,91.01,-1.58%
08/27/2017,92.81,92.32,93.35,91.62,0.08%
08/20/2017,92.74,93.46,93.63,92.42,-0.74%
08/13/2017,93.43,93.07,94.14,93.05,0.39%
08/06/2017,93.07,93.51,93.89,92.93,-0.51%
07/30/2017,93.54,93.36,93.77,92.55,0.30%
07/23/2017,93.26,93.94,94.29,93.15,-0.64%
07/16/2017,93.86,95.09,95.35,93.85,-1.36%
07/09/2017,95.15,96.03,96.21,95.09,-0.89%
07/02/2017,96.01,95.65,96.51,95.63,0.40%
06/25/2017,95.63,97.24,97.47,95.47,-1.68%
06/18/2017,97.26,97.1,97.87,97.04,0.10%
06/11/2017,97.16,97.22,97.56,96.32,-0.11%
06/04/2017,97.27,96.73,97.5,96.51,0.58%
05/28/2017,96.71,97.43,97.78,96.65,-0.75%
05/21/2017,97.44,97.21,97.55,96.8,0.31%
05/14/2017,97.14,99.15,99.26,97.08,-2.13%
05/07/2017,99.25,98.79,99.89,98.6,0.61%
04/30/2017,98.65,98.93,99.46,98.54,-0.41%
04/23/2017,99.05,98.97,99.33,98.69,-0.93%
04/16/2017,99.98,100.49,100.47,99.37,-0.58%
04/09/2017,100.56,101.18,101.34,100.01,-0.61%
04/02/2017,101.18,100.5,101.26,100.37,0.83%
03/26/2017,100.35,99.47,100.65,98.86,0.73%
03/19/2017,99.63,100.36,100.47,99.53,-0.67%
03/12/2017,100.3,101.31,101.79,100.14,-0.94%
03/05/2017,101.25,101.4,102.25,101.17,-0.29%
02/26/2017,101.54,101.11,102.26,100.69,0.45%
02/19/2017,101.09,100.93,101.72,100.66,0.14%
02/12/2017,100.95,100.84,101.76,100.41,0.15%
02/05/2017,100.8,99.65,101.01,99.63,0.93%
01/29/2017,99.87,100.32,101.02,99.23,-0.66%
01/22/2017,100.53,100.74,100.82,99.79,-0.21%
01/15/2017,100.74,101.66,101.73,100.26,-0.43%
01/08/2017,101.18,102.25,102.95,100.72,-1.02%
01/01/2017,102.22,102.38,103.82,101.3,0.01%
12/25/2016,102.21,103.01,103.63,101.91,-0.78%
12/18/2016,103.01,102.9,103.65,102.52,0.06%
12/11/2016,102.95,101.71,103.56,100.73,1.34%
12/04/2016,101.59,100.84,101.74,99.43,0.81%
11/27/2016,100.77,101.25,101.83,100.62,-0.71%
11/20/2016,101.49,101.28,102.05,100.65,0.28%
11/13/2016,101.21,99.13,101.48,99.13,2.17%
11/06/2016,99.06,97.54,99.13,95.89,2.06%
10/30/2016,97.06,98.3,98.7,96.89,-1.31%
10/23/2016,98.35,98.64,99.12,98.24,-0.34%
10/16/2016,98.69,98.15,98.81,97.61,0.68%
10/09/2016,98.02,96.63,98.13,96.46,1.44%
10/02/2016,96.63,95.54,97.19,95.46,1.23%
09/25/2016,95.46,95.4,95.96,95.13,-0.02%
09/18/2016,95.48,96.07,96.33,95.05,-0.66%
09/11/2016,96.11,95.3,96.11,94.94,0.81%
09/04/2016,95.34,95.89,95.89,94.47,-0.52%
08/28/2016,95.84,95.61,96.25,95.19,0.28%
08/21/2016,95.57,94.72,95.59,94.21,1.12%
08/14/2016,94.51,95.65,95.8,94.08,-1.26%
08/07/2016,95.72,96.29,96.52,95.25,-0.49%
07/31/2016,96.19,95.59,96.52,95,0.69%
07/24/2016,95.53,97.35,97.57,95.38,-1.99%
07/17/2016,97.47,96.59,97.54,96.47,0.92%
07/10/2016,96.58,96.29,96.79,95.83,0.29%
07/03/2016,96.3,95.69,96.7,95.34,0.68%
06/26/2016,95.65,96.07,96.7,95.41,0.21%
06/19/2016,95.45,93.87,96.7,93.02,1.32%
06/12/2016,94.21,94.65,95.32,94.07,-0.38%
06/05/2016,94.57,94.02,94.71,93.42,0.57%
05/29/2016,94.03,95.7,95.97,93.86,-1.56%
05/22/2016,95.52,95.32,95.78,94.94,0.20%
05/15/2016,95.33,94.65,95.5,94.33,0.76%
05/08/2016,94.61,93.91,94.84,93.68,0.77%
05/01/2016,93.89,93.02,93.96,91.92,0.87%
04/24/2016,93.08,95.11,95.08,93.01,-2.14%
04/17/2016,95.12,94.59,95.2,93.92,0.44%
04/10/2016,94.7,94.1,95.2,93.63,0.50%
04/03/2016,94.23,94.56,95.07,94.02,-0.41%
03/27/2016,94.62,96.27,96.4,94.32,-1.58%
03/20/2016,96.14,95.15,96.36,95,1.10%
03/13/2016,95.09,96.31,97.06,94.58,-1.12%
03/06/2016,96.17,97.4,98.42,95.94,-1.20%
02/28/2016,97.34,98.17,98.58,97.02,-0.83%
02/21/2016,98.15,96.78,98.26,96.73,1.60%
02/14/2016,96.6,96.08,97.17,95.94,0.69%
02/07/2016,95.94,97.06,97.48,95.24,-1.12%
01/31/2016,97.03,99.55,99.63,96.26,-2.59%
01/24/2016,99.61,99.52,99.83,98.42,0.04%
01/17/2016,99.57,98.8,99.8,98.63,0.62%
01/10/2016,98.96,98.41,99.33,98.25,0.43%
01/03/2016,98.54,98.59,99.63,98.05,-0.09%
12/27/2015,98.63,97.95,98.78,97.8,0.66%
12/20/2015,97.98,98.68,98.84,97.86,-0.73%
12/13/2015,98.7,97.61,99.29,97.19,1.17%
12/06/2015,97.56,98.38,98.9,97.22,-0.80%
11/29/2015,98.35,100.08,100.51,97.59,-1.67%
11/22/2015,100.02,99.66,100.2,99.31,0.46%
11/15/2015,99.56,99,99.85,98.73,0.57%
11/08/2015,99,99.27,99.5,98.43,-0.17%
11/01/2015,99.17,96.69,99.34,96.64,2.29%
10/25/2015,96.95,97.15,97.82,96.47,-0.19%
10/18/2015,97.13,94.67,97.2,94.55,2.74%
10/11/2015,94.54,94.86,94.98,93.81,-0.28%
10/04/2015,94.81,95.84,96.17,94.69,-1.06%
09/27/2015,95.83,96.29,96.5,95.22,-0.46%
09/20/2015,96.27,95.36,96.7,95.04,1.49%
09/13/2015,94.86,95.2,95.84,94.06,-0.35%
09/06/2015,95.19,96.15,96.42,95.11,-1.08%
08/30/2015,96.23,96.19,96.62,95.19,0.12%
08/23/2015,96.11,94.86,96.32,92.62,1.16%
08/16/2015,95.01,96.56,97.08,94.8,-1.56%
08/09/2015,96.52,97.54,97.92,95.93,-1.07%
08/02/2015,97.56,97.22,98.33,97.16,0.23%
