"Date","Price","Open","High","Low","Vol.","Change.."
2017-02-12,1235.29,"1,231.52","1,243.84","1,216.48","","0.09%"
2017-02-19,1256.94,"1,235.21","1,260.48","1,226.12","","1.75%"
2017-02-26,1234.3,"1,257.41","1,263.88","1,222.59","","-1.80%"
2017-03-05,1204.55,"1,232.49","1,236.84","1,194.62","","-2.41%"
2017-03-12,1229.15,"1,205.68","1,233.88","1,197.54","","2.04%"
2017-03-19,1244.17,"1,229.41","1,253.49","1,226.69","","1.22%"
2017-03-26,1249.13,"1,248.00","1,261.53","1,240.05","","0.40%"
2017-04-02,1254.05,"1,248.40","1,270.96","1,243.85","","0.39%"
2017-04-09,1285.69,"1,254.26","1,289.14","1,247.50","","2.52%"
2017-04-16,1284.5,"1,292.96","1,295.92","1,276.23","","-0.09%"
2017-04-23,1268.15,"1,270.27","1,278.67","1,260.40","","-1.27%"
2017-04-30,1227.74,"1,268.24","1,271.24","1,225.35","","-3.19%"
2017-05-07,1228.83,"1,225.67","1,237.10","1,214.31","","0.09%"
2017-05-14,1255.55,"1,228.40","1,265.54","1,227.20","","2.17%"
2017-05-21,1267.05,"1,256.09","1,269.88","1,247.63","","0.92%"
2017-05-28,1279.98,"1,267.50","1,279.98","1,259.00","","1.02%"
2017-06-04,1266.4,"1,279.34","1,296.47","1,264.74","","-1.06%"
2017-06-11,1253.63,"1,267.20","1,279.87","1,251.55","","-1.01%"
2017-06-18,1256.9,"1,254.00","1,259.31","1,241.25","","0.26%"
2017-06-25,1241.6,"1,258.03","1,258.44","1,236.86","","-1.22%"
2017-07-02,1212.9,"1,241.46","1,242.83","1,207.25","","-2.31%"
2017-07-09,1228.98,"1,213.70","1,233.16","1,204.85","","1.33%"
2017-07-16,1254.9,"1,228.60","1,256.30","1,228.30","","2.11%"
2017-07-23,1269.25,"1,255.78","1,271.34","1,243.91","","1.14%"
2017-07-30,1258.6,"1,270.41","1,274.72","1,254.75","","-0.84%"
2017-08-06,1289.21,"1,259.04","1,292.26","1,251.41","","2.43%"
2017-08-13,1284.5,"1,289.40","1,301.20","1,267.63","","-0.37%"
2017-08-20,1291.15,"1,283.33","1,294.14","1,278.66","","0.52%"
2017-08-27,1324.97,"1,292.18","1,329.20","1,291.90","","2.62%"
2017-09-03,1346.71,"1,334.40","1,357.94","1,327.39","","1.64%"
2017-09-10,1319.62,"1,337.45","1,340.37","1,316.12","","-2.01%"
2017-09-17,1297.38,"1,319.97","1,319.97","1,288.01","","-1.69%"
2017-09-24,1279.45,"1,297.62","1,313.89","1,277.61","","-1.38%"
2017-10-01,1276.03,"1,279.82","1,282.76","1,260.89","","-0.27%"
2017-10-08,1304.88,"1,275.65","1,304.88","1,275.41","","2.26%"
2017-10-15,1280.72,"1,303.54","1,306.46","1,276.62","","-1.85%"
2017-10-22,1273.35,"1,277.82","1,284.41","1,264.10","","-0.58%"
2017-10-29,1269.85,"1,273.59","1,284.48","1,265.55","","-0.27%"
2017-11-05,1276.14,"1,269.52","1,288.41","1,266.08","","0.50%"
2017-11-12,1294.37,"1,274.81","1,297.04","1,270.60","","1.43%"
2017-11-19,1288.22,"1,293.01","1,295.12","1,275.25","","-0.48%"
2017-11-26,1280.26,"1,288.58","1,299.21","1,270.19","","-0.62%"
2017-12-03,1248.14,"1,273.22","1,277.54","1,244.10","","-2.51%"
2017-12-10,1255.26,"1,247.27","1,261.89","1,236.00","","0.57%"
2017-12-17,1275.01,"1,253.80","1,276.38","1,252.70","","1.57%"
2017-12-24,1302.55,"1,274.95","1,307.69","1,273.30","","2.16%"
2017-12-31,1320.21,"1,302.89","1,326.26","1,302.85","","1.36%"
2018-01-07,1338.4,"1,320.02","1,339.40","1,307.97","","1.38%"
2018-01-14,1331.8,"1,336.94","1,344.82","1,324.09","","-0.49%"
2018-01-21,1350.14,"1,334.86","1,366.45","1,328.69","","1.38%"
2018-01-28,1332.98,"1,349.74","1,352.33","1,327.21","","-1.27%"
2018-02-04,1316.69,"1,331.99","1,346.05","1,306.86","","-1.22%"
2018-02-11,1347.86,"1,315.07","1,361.84","1,314.14","","2.37%"
2018-02-18,1328.94,"1,347.19","1,351.03","1,320.68","","-1.40%"
2018-02-25,1322.2,"1,327.53","1,340.88","1,302.64","","-0.51%"
2018-03-04,1323.7,"1,323.75","1,340.49","1,313.05","","0.11%"
2018-03-11,1314,"1,324.31","1,331.02","1,310.31","","-0.73%"
2018-03-18,1347.22,"1,314.02","1,350.66","1,307.37","","2.53%"
2018-03-25,1325,"1,348.51","1,357.66","1,322.21","","-1.65%"
2018-04-01,1333.2,"1,326.11","1,348.37","1,321.47","","0.62%"
2018-04-08,1345.46,"1,333.22","1,365.68","1,327.06","","0.92%"
2018-04-15,1335.12,"1,344.61","1,356.14","1,335.07","","-0.77%"
2018-04-22,1322.8,"1,335.71","1,336.29","1,315.96","","-0.92%"
2018-04-29,1315.05,"1,322.80","1,325.33","1,301.91","","-0.59%"
2018-05-06,1318.22,"1,315.18","1,326.49","1,304.64","","0.24%"
2018-05-13,1292.5,"1,319.16","1,323.36","1,286.41","","-1.95%"
2018-05-20,1301.61,"1,290.95","1,308.24","1,282.20","","0.70%"
2018-05-27,1293.14,"1,298.74","1,306.87","1,289.52","","-0.65%"
2018-06-03,1298.75,"1,293.51","1,303.83","1,290.13","","0.43%"
2018-06-10,1279.84,"1,299.61","1,310.14","1,275.85","","-1.46%"
2018-06-17,1269.28,"1,279.55","1,284.85","1,261.63","","-0.83%"
2018-06-24,1253,"1,272.41","1,273.29","1,246.07","","-1.28%"
2018-07-01,1254.99,"1,253.89","1,261.88","1,238.11","","0.16%"
2018-07-08,1241.52,"1,255.24","1,266.39","1,237.10","","-1.07%"
2018-07-15,1231.76,"1,241.41","1,245.93","1,211.47","","-0.79%"
2018-07-22,1223.38,"1,231.30","1,235.57","1,217.34","","-0.68%"
2018-07-29,1213.43,"1,222.96","1,228.72","1,204.40","","-0.81%"
2018-08-05,1211.3,"1,213.71","1,218.30","1,205.85","","-0.18%"
2018-08-12,1184.77,"1,211.28","1,214.25","1,160.38","","-2.19%"
2018-08-19,1205.97,"1,183.78","1,208.87","1,182.70","","1.79%"
2018-08-26,1201.09,"1,206.94","1,214.66","1,196.33","","-0.40%"
2018-09-02,1195.86,"1,200.34","1,207.47","1,189.70","","-0.44%"
2018-09-09,1193.71,"1,195.07","1,213.05","1,187.61","","-0.18%"
2018-09-16,1199.55,"1,193.24","1,211.47","1,191.97","","0.49%"
2018-09-23,1192.09,"1,198.59","1,204.51","1,180.74","","-0.62%"
2018-09-30,1202.86,"1,192.21","1,208.72","1,184.62","","0.90%"
2018-10-07,1217.93,"1,203.16","1,226.67","1,183.44","","1.25%"
2018-10-14,1226.32,"1,217.51","1,233.72","1,217.47","","0.69%"
2018-10-21,1233.59,"1,228.38","1,243.73","1,220.08","","0.59%"
2018-10-28,1232.89,"1,234.17","1,237.80","1,211.93","","-0.06%"
2018-11-04,1209.6,"1,233.36","1,236.31","1,206.52","","-1.89%"
2018-11-11,1221.47,"1,209.47","1,225.37","1,195.98","","0.98%"
2018-11-18,1223.19,"1,222.44","1,230.82","1,218.20","","0.14%"
2018-11-25,1221.97,"1,223.99","1,229.05","1,210.74","","-0.10%"
2018-12-02,1248.1,"1,223.42","1,250.42","1,221.39","","2.14%"
2018-12-09,1238.21,"1,250.45","1,250.64","1,232.48","","-0.79%"
2018-12-16,1255.92,"1,237.60","1,266.70","1,235.69","","1.43%"
2018-12-23,1280.67,"1,258.65","1,282.34","1,257.96","","1.97%"
2018-12-30,1284.83,"1,280.20","1,298.68","1,276.66","","0.32%"
2019-01-06,1287.5,"1,286.01","1,297.47","1,279.10","","0.21%"
2019-01-13,1281.11,"1,287.70","1,296.21","1,280.49","","-0.50%"
2019-01-20,1303.14,"1,281.64","1,303.78","1,276.58","","1.72%"
2019-01-27,1317.93,"1,303.82","1,326.65","1,297.54","","1.13%"
2019-02-03,1313.99,"1,318.13","1,319.11","1,302.53","","-0.30%"
2019-02-10,1321.01,"1,314.55","1,322.76","1,302.88","","0.53%"
2019-02-17,1327.71,"1,321.41","1,347.11","1,320.60","","0.51%"
2019-02-24,1293.31,"1,328.89","1,332.80","1,290.24","","-2.59%"
2019-03-03,1298.01,"1,293.61","1,300.85","1,281.10","","0.36%"
2019-03-10,1301.13,"1,298.85","1,311.56","1,290.34","","0.24%"
2019-03-17,1313.13,"1,302.34","1,320.62","1,298.19","","0.92%"
2019-03-24,1291.9,"1,313.35","1,324.57","1,286.77","","-1.62%"
2019-03-31,1291.3,"1,291.48","1,297.23","1,280.91","","-0.05%"
2019-04-07,1290,"1,291.80","1,310.96","1,289.66","","-0.10%"
2019-04-14,1275.01,"1,290.60","1,292.08","1,271.07","","-1.16%"
2019-04-21,1285.85,"1,275.83","1,289.01","1,266.25","","0.85%"
2019-04-28,1278.94,"1,286.55","1,287.38","1,266.18","","-0.54%"
2019-05-05,1285.6,"1,281.19","1,291.73","1,276.85","","0.52%"
2019-05-12,1277.15,"1,286.71","1,303.47","1,274.91","","-0.66%"
2019-05-19,1284.65,"1,277.80","1,287.62","1,269.34","","0.59%"
2019-05-26,1305.25,"1,285.80","1,307.11","1,274.82","","1.60%"
2019-06-02,1340.3,"1,307.40","1,348.45","1,306.62","","2.69%"
2019-06-09,1341.33,"1,335.94","1,358.40","1,319.74","","0.08%"
2019-06-16,1398.65,"1,342.05","1,411.08","1,332.83","","4.27%"
2019-06-23,1409.1,"1,401.35","1,438.99","1,400.21","","0.75%"
2019-06-30,1399.55,"1,392.83","1,436.29","1,381.84","","-0.68%"
2019-07-07,1415.49,"1,400.05","1,426.21","1,386.35","","1.14%"
2019-07-14,1424.91,"1,415.75","1,452.96","1,400.18","","0.67%"
2019-07-21,1418.31,"1,425.15","1,433.84","1,411.08","","-0.46%"
2019-07-28,1440.45,"1,419.49","1,448.23","1,400.65","","1.56%"
2019-08-04,1496.84,"1,440.65","1,510.28","1,437.03","","3.91%"
2019-08-11,1513.75,"1,497.65","1,534.75","1,481.38","","1.13%"
2019-08-18,1526.1,"1,511.15","1,530.11","1,491.85","","0.82%"
2019-08-25,1519.85,"1,539.30","1,555.13","1,517.43","","-0.41%"
2019-09-01,1506.7,"1,520.10","1,557.38","1,502.89","","-0.87%"
2019-09-08,1488.45,"1,507.10","1,523.96","1,484.27","","-1.21%"
2019-09-15,1516.75,"1,503.34","1,517.24","1,484.36","","1.90%"
2019-09-22,1496.56,"1,516.66","1,535.85","1,487.04","","-1.33%"
2019-09-29,1504.35,"1,497.07","1,518.81","1,459.00","","0.52%"
2019-10-06,1489.45,"1,504.76","1,517.08","1,474.28","","-0.99%"
2019-10-13,1489.7,"1,488.90","1,498.17","1,477.06","","0.02%"
2019-10-20,1504.33,"1,492.02","1,518.07","1,480.87","","0.98%"
2019-10-27,1513.55,"1,504.34","1,515.81","1,481.21","","0.61%"
2019-11-03,1458.41,"1,513.80","1,514.97","1,456.28","","-3.64%"
2019-11-10,1467.12,"1,458.96","1,474.62","1,445.61","","0.60%"
